char,sim
𠅎,"['抶', '柣', '伕', '快', '块', '𡘮', '袟', '焋', '垁', '扶', '轶', '挟', '坎', '祓', '侠', '玞', '怢', '埃', '垘', '抉']"
𠅐,"['𠅎', '块', '快', '垁', '焋', '𥏌', '𡭻', '抶', '柣', '玞', '伕', '𡘮', '𥏋', '劮', '铓', '坎', '𡊸', '刔', '埭', '奘']"
𠅒,"['抺', '枺', '抹', '梾', '𡋃', '𣑳', '捇', '朿', '𦵠', '秣', '𢪯', '杙', '蒋', '榇', '蒣', '牀', '祙', '郝', '徕', '杼']"
𠅜,"['𢈱', '府', '廊', '傸', '俩', '痫', '廓', '痢', '宬', '鄇', '慡', '橱', '痌', '𢉽', '序', '廚', '痼', '瘌', '儞', '窚']"
𠅳,"['頃', '項', '𠹚', '崱', '𠺯', '𠸩', '貿', '嵿', '貲', '𣦓', '貞', '覚', '惧', '𥈿', '嗩', '𪬳', '𨊋', '塤', '罆', '蹎']"
𠅻,"['𩅹', '臂', '𢉩', '脣', '澹', '菺', '厝', '𡻔', '舚', '葿', '殯', '淯', '凟', '薃', '蓢', '菎', '霡', '𠆍', '溏', '賡']"
𠅼,"['蔟', '𠞠', '薐', '𥠬', '簇', '蘾', '褎', '槳', '茺', '𦼟', '篌', '塃', '装', '裘', '𧀏', '瑳', '族', '策', '埭', '菉']"
𠆍,"['癲', '瞋', '䐜', '瘨', '𤺮', '癯', '𧅕', '殯', '顔', '厲', '蕷', '賡', '𤷍', '𩅜', '殨', '𢊑', '顛', '顏', '癫', '𥈿']"
𠆳,"['仝', '仩', '乒', '䇛', '钍', '尘', '歮', '乓', '坐', '仕', '缶', '𠰃', '壮', '岳', '垒', '岦', '伞', '凷', '企', '佥']"
𠇍,"['尒', '厼', '氽', '介', '个', '尛', '㐱', '亽', '汈', '令', '籴', '汆', '汴', '众', '仒', '仑', '饣', '𫃚', '尔', '糸']"
𠇕,"['但', '汜', '皅', '卧', '伯', '𣲆', '佔', '圯', '忋', '佀', '𠖰', '僶', '佋', '侣', '伵', '氾', '佣', '怉', '𠇽', '悒']"
𠇖,"['砭', '仡', '伭', '眨', '伛', '𤇮', '泛', '侅', '仔', '伨', '俘', '𦚖', '侘', '仢', '柉', '匀', '忔', '讫', '𢗃', '怰']"
𠇮,"['𠴠', '禽', '兪', '屓', '僉', '廁', '厠', '谕', '呙', '屑', '侖', '喻', '局', '𠁚', '俞', '尙', '倜', '良', '𠃅', '缶']"
𠇼,"['仔', '忬', '伃', '垀', '仢', '伻', '忤', '俘', '𢗃', '伨', '仴', '仟', '抨', '𠇖', '坧', '㑡', '𢗔', '侔', '彾', '伢']"
𠇽,"['倔', '恆', '佢', '但', '伛', '佐', '個', '倨', '伲', '𢘬', '佀', '𠉜', '𢗔', '佝', '伌', '佔', '饨', '仴', '砸', '徊']"
𠈋,"['伐', '彼', '攸', '佊', '侬', '倐', '饮', '俠', '侁', '倣', '俶', '俽', '怴', '傶', '𢜢', '佽', '𢚲', '伋', '侹', '仗']"
𠈬,"['侄', '傞', '跾', '恎', '垼', '傜', '垤', '𥰈', '俓', '怪', '径', '從', '愮', '徨', '洷', '徎', '僜', '銍', '𥭎', '轾']"
𠈭,"['徉', '侔', '伡', '倅', '倖', '佯', '仹', '偉', '僻', '侾', '伜', '伴', '侘', '俘', '俸', '俥', '𣒲', '𢭂', '倬', '傕']"
𠈲,"['佸', '佋', '俖', '佀', '侣', '侰', '傜', '估', '倃', '偦', '傛', '倱', '佫', '惽', '僜', '惂', '侘', '僒', '恉', '伭']"
𠈳,"['侲', '倞', '偯', '侯', '俍', '侭', '佷', '俠', '候', '惊', '很', '棂', '伲', '侷', '傉', '俔', '低', '伬', '㤥', '𠉜']"
𠉜,"['倨', '偓', '伲', '倱', '倔', '僱', '侘', '侲', '𠌇', '傉', '俍', '侷', '馐', '仴', '馑', '佷', '僒', '偈', '徎', '佀']"
𠉝,"['侼', '侍', '悖', '仿', '偫', '佊', '饽', '侜', '𠍤', '㑏', '𠊡', '佐', '彼', '伎', '侁', '𢜢', '侤', '待', '侪', '俘']"
𠉞,"['龛', '怠', '衾', '弇', '倉', '含', '兺', '翕', '炱', '念', '窤', '瓫', '忿', '𡌢', '𠝕', '諗', '禽', '舎', '𥯓', '舍']"
𠉟,"['杄', '杆', '杵', '析', '倂', '硏', '俯', '忏', '𥘪', '仟', '杅', '仠', '忤', '秆', '惭', '𠂪', '枅', '砑', '仵', '枡']"
𠉠,"['𢚵', '侈', '𤉒', '𠝓', '惨', '侅', '傪', '𠔭', '恀', '𢭺', '俢', '僇', '偧', '慘', '俘', '侘', '侤', '伭', '㤥', '侵']"
𠉱,"['俿', '㥬', '候', '仿', '俒', '倨', '侯', '傆', '佊', '傓', '傍', '傉', '侂', '侲', '俍', '侷', '𠊡', '彼', '倞', '徬']"
𠊁,"['偿', '傧', '侫', '倧', '侼', '僓', '饽', '𠎬', '𠏥', '徙', '𠍤', '俈', '傇', '俟', '倷', '侵', '儁', '𠍵', '侥', '使']"
𠊙,"['值', '値', '愃', '倌', '馆', '倍', '悺', '馇', '佰', '估', '偣', '佄', '徂', '傖', '徝', '俏', '佁', '佢', '佾', '傄']"
𠊚,"['得', '俘', '偮', '偶', '𡐙', '𢚹', '偎', '𠏦', '侶', '𥊤', '𠏲', '侵', '停', '悙', '悁', '憳', '侮', '撏', '偈', '佴']"
𠊛,"['镹', '𢣀', '𠊚', '隄', '鄓', '悍', '是', '臥', '猒', '𢚹', '镺', '郹', '𤊢', '段', '耸', '𨈒', '𨻬', '敫', '崼', '慑']"
𠊜,"['伮', '侞', '做', '𢘾', '俯', '徶', '怓', '𥓳', '倣', '𥯉', '侜', '𢚲', '𢜢', '妳', '嫆', '娇', '儆', '娝', '俶', '伢']"
𠊝,"['笞', '荅', '苔', '咎', '答', '𡌢', '怡', '垥', '饴', '﨏', '𥱱', '紿', '給', '径', '佁', '登', '𠎨', '峇', '坮', '莟']"
𠊟,"['僶', '俋', '偊', '俑', '偶', '傜', '傴', '倱', '悒', '佣', '徭', '俺', '儅', '伸', '倔', '馄', '僊', '淹', '𠉜', '偈']"
𠊡,"['凭', '侥', '俿', '徒', '徙', '侁', '儀', '倦', '侂', '馐', '侘', '㑍', '彼', '𠉜', '𠍵', '俍', '倀', '侯', '僚', '𠉝']"
𠊫,"['惸', '惇', '𠊚', '得', '仔', '佝', '𠏲', '侶', '倚', '徇', '侚', '俘', '佲', '俉', '𥖒', '侷', '偈', '僝', '像', '𡥴']"
𠋂,"['馋', '俛', '悗', '僚', '㑳', '像', '倪', '俊', '傀', '偎', '馄', '儳', '馐', '僊', '偃', '佷', '儗', '偬', '憭', '儼']"
𠋥,"['愩', '悁', '俏', '偕', '僩', '憤', '偱', '僴', '恂', '倜', '𢜫', '惛', '惜', '愷', '循', '個', '偶', '慆', '𢟚', '恉']"
𠋦,"['偞', '僬', '㑍', '𠏟', '偨', '僚', '倲', '倬', '𠏭', '馍', '偀', '𠝺', '使', '惵', '懍', '𢢲', '偎', '𠏥', '俥', '徚']"
𠋺,"['慅', '俻', '偹', '𠏭', '偎', '俊', '偃', '僊', '傜', '僚', '𦃐', '儉', '優', '使', '像', '僞', '𠏥', '馑', '偶', '侱']"
𠌇,"['倻', '𠍥', '郞', '郎', '郁', '榔', '鄉', '佴', '佣', '𢠯', '𠉜', '僩', '𤍎', '佷', '侭', '馄', '㑡', '傾', '瑯', '俍']"
𠌦,"['𢟕', '㒙', '𨃺', '俶', '𢢂', '纳', '𠌇', '𠺶', '𥾽', '𠎨', '𢜢', '納', '𦀪', '𢗋', '傱', '𥿥', '侬', '縧', '縀', '徜']"
𠌧,"['侉', '佭', '恈', '傟', '絛', '俆', '𠊚', '跾', '偉', '傽', '镎', '慞', '得', '徫', '悙', '倴', '恗', '傖', '脩', '悸']"
𠌨,"['傕', '僱', '𠏠', '倠', '惟', '碓', '准', '谁', '𠉜', '倔', '催', '慛', '雏', '𣼭', '𠎴', '倨', '俚', '僶', '雔', '𣼲']"
𠍣,"['徘', '俳', '悱', '棑', '排', '绯', '𢜢', '裶', '𢯑', '𠉝', '𠌨', '𣵲', '𢞄', '𢭬', '剕', '誹', '𣼭', '𠼕', '珔', '伴']"
𠍤,"['侾', '悖', '𠎬', '俘', '侼', '饽', '侤', '倦', '郣', '惓', '侫', '𢝜', '侉', '侍', '𢠄', '𠏦', '傍', '倖', '徬', '僊']"
𠍥,"['傾', '𠌇', '佷', '恨', '側', '馄', '假', '僚', '偎', '偶', '很', '俍', '𢵉', '偃', '低', '悢', '鄉', '俶', '佴', '徵']"
𠍦,"['偩', '儨', '𪬡', '偵', '儹', '傊', '僓', '傾', '愪', '憒', '償', '偺', '復', '𢠈', '懫', '偕', '俏', '僚', '儐', '價']"
𠍭,"['𢣇', '倍', '𦟋', '做', '极', '徹', '諏', '𤭵', '𣻃', '𢊫', '碱', '𥓳', '破', '𡏧', '被', '歆', '彼', '儼', '俉', '硌']"
𠍵,"['儀', '傃', '𠊡', '倢', '𥱭', '愫', '俵', '俦', '儁', '傧', '儔', '㑍', '僚', '徒', '倀', '𢣂', '凭', '侇', '候', '侥']"
𠎊,"['𢵳', '森', '惏', '綝', '𥮋', '椕', '𣙪', '楝', '櫪', '栜', '𡑓', '椊', '𣟩', '菻', '襋', '橛', '檽', '枺', '欁', '霖']"
𠎨,"['給', '饸', '俗', '恰', '侩', '綌', '怡', '佁', '饴', '佮', '﨏', '份', '佾', '跲', '慃', '俆', '恱', '垥', '紿', '铪']"
𠎩,"['慫', '憊', '懲', '𨼚', '㤈', '𤮑', '𨅥', '𢚴', '𠖤', '㥋', '僽', '𣊾', '𢚁', '悲', '總', '𢴾', '憇', '惚', '偬', '怨']"
𠎪,"['屦', '𥘂', '𤮒', '𢜡', '僱', '殘', '偓', '僝', '慀', '懓', '傉', '瑗', '倨', '侭', '倔', '侯', '𢚼', '𢟟', '屨', '偋']"
𠎫,"['𢢅', '俥', '𢴿', '傅', '𣛨', '謿', '𠏭', '傋', '𢠯', '灞', '𣼷', '𡓎', '𠌇', '𢠉', '𢜠', '惮', '悼', '愺', '淖', '倬']"
𠎬,"['𠍤', '侼', '𠏦', '侾', '悖', '倖', '偉', '侍', '恃', '饽', '停', '儁', '等', '侤', '俘', '𥪸', '𢝜', '侉', '侫', '傋']"
𠎴,"['僱', '𠌨', '傱', '僻', '𠏠', '傕', '僶', '𠉜', '𢘬', '蹤', '馄', '伲', '饨', '倔', '傡', '傀', '倪', '催', '純', '倨']"
𠏟,"['懍', '儇', '懔', '馍', '像', '壈', '偎', '𠏭', '𢶸', '僷', '僚', '僊', '儻', '僄', '凜', '𤢤', '葆', '澟', '𡓔', '偽']"
𠏠,"['𠌨', '傕', '碓', '徍', '徃', '僱', '跬', '惟', '倠', '雏', '璀', '𥇁', '谁', '倔', '锥', '𠉜', '傱', '雝', '卦', '從']"
𠏥,"['徵', '愷', '儼', '僊', '偕', '偎', '倦', '僚', '偽', '佊', '傜', '做', '𠏲', '徴', '儇', '馐', '偺', '𠏭', '倷', '徭']"
𠏦,"['停', '𢝜', '𠎬', '得', '𠊚', '俘', '悙', '𠍤', '傽', '侾', '儐', '𠏲', '𢠄', '憳', '偉', '悖', '侉', '㑳', '饽', '傉']"
𠏭,"['儼', '傜', '翛', '僚', '儇', '偎', '鄇', '𠌇', '傉', '徵', '僊', '像', '傺', '傿', '𠋺', '懷', '僲', '憭', '俊', '𢠄']"
𠏲,"['偕', '僊', '侶', '俉', '偶', '偖', '傦', '慆', '𢙵', '倦', '惛', '偈', '佲', '得', '俻', '𢣆', '愷', '傜', '僧', '偦']"
𠏳,"['働', '慟', '𥠭', '𤍆', '緶', '𠘃', '摙', '𢶂', '蹤', '𤯺', '𦩰', '𢲩', '馄', '𨤯', '撾', '𠻆', '漣', '𦑃', '𡂁', '勤']"
𠐅,"['佣', '𠉜', '偂', '仴', '倔', '倨', '僶', '𠌇', '𢯕', '谊', '佀', '偱', '們', '碩', '僩', '傰', '悁', '但', '慆', '皚']"
𠐞,"['佦', '俖', '倨', '俉', '儕', '僻', '傜', '倔', '碕', '碎', '碩', '硌', '傛', '悋', '倴', '佑', '硁', '徭', '𢙵', '俙']"
𠐬,"['𥗳', '𢹉', '頽', '碩', '頹', '𤬈', '𡦫', '頑', '預', '頺', '頯', '頦', '頄', '侯', '頠', '僢', '鄇', '頱', '徯', '傸']"
𠐸,"['𢶾', '𣼭', '滩', '雓', '維', '摊', '𣼲', '锥', '雏', '雠', '𠏠', '雅', '堆', '𩀳', '𦟿', '雞', '儺', '𠌨', '潍', '雜']"
𠑈,"['檻', '懢', '璼', '儖', '襤', '𥜓', '褴', '盌', '嚂', '艦', '裇', '盬', '𡅋', '緼', '欰', '愠', '濫', '慍', '糮', '监']"
𠑉,"['𠎨', '𢟔', '褪', '俗', '𦄁', '饸', '脩', '𣻇', '綌', '煺', '跆', '份', '徐', '铪', '佮', '蹐', '𢱸', '蹆', '俆', '條']"
𠑋,"['𣭰', '𡦧', '𧯵', '𥨋', '鏲', '𦅮', '鋅', '𤯨', '琫', '怿', '鏬', '𣖛', '𨦧', '撆', '𣭯', '𨦭', '锌', '珲', '锛', '辁']"
𠑕,"['語', '𡂉', '𠤌', '誓', '𡂳', '諍', '讐', '嘻', '諮', '𡄭', '詧', '𡂂', '諐', '𠻂', '𠸗', '𡃽', '唏', '誥', '𡆑', '𠾺']"
𠑖,"['毚', '竟', '蒐', '𦘧', '窺', '𧥇', '𦾤', '慮', '蔻', '𧀐', '窟', '儳', '簴', '𠿯', '覽', '蘋', '𧅫', '疐', '崽', '嶷']"
𠑢,"['讛', '橒', '襼', '𧞤', '兿', '薳', '𡓅', '墝', '僷', '蒦', '壜', '囈', '𡔖', '蔻', '𡗉', '墵', '憢', '蒄', '甆', '亵']"
𠑬,"['𦈂', '蹺', '𠨪', '憢', '繞', '僥', '翹', '侥', '饒', '𣩦', '𢣂', '僚', '𤃤', '馐', '𥍘', '侹', '絛', '恱', '從', '倏']"
𠒥,"['𢭩', '殊', '𥟂', '𦀾', '糅', '𥺹', '𠓁', '𣗌', '涞', '𠓇', '𥽄', '𤀓', '殑', '淶', '𠓅', '𢵽', '棣', '𥟈', '桄', '诙']"
𠒦,"['𥺓', '尡', '𥹙', '𠓇', '糊', '𥺖', '䊚', '粘', '𥺊', '梠', '𦨻', '𠸛', '𥺆', '𥻡', '𢙲', '瞇', '𣨕', '糙', '𥻢', '𣗌']"
𠒬,"['𤇳', '𤇦', '𡊸', '惐', '煘', '或', '琙', '放', '聝', '域', '淢', '叔', '欻', '馘', '𥐋', '减', '𢬮', '挄', '救', '拭']"
𠒯,"['兒', '冕', '皃', '覓', '見', '覔', '𧹦', '閱', '唲', '臰', '児', '𠝕', '覧', '哯', '鳧', '覚', '凫', '毚', '𡂷', '莧']"
𠒷,"['詖', '訃', '儲', '誡', '訣', '誠', '佶', '詼', '信', '訧', '訙', '徒', '𠊡', '識', '訩', '𧦖', '訥', '詵', '試', '侁']"
𠓀,"['𠸜', '甥', '咎', '䀩', '夞', '跣', '魁', '𠸛', '路', '畧', '魃', '𨁮', '𥏋', '𣨕', '駱', '𤭚', '謖', '𨃈', '趨', '先']"
𠓁,"['𤎔', '𤀓', '樣', '據', '𤖡', '𣾶', '堠', '𢢊', '淥', '耨', '滌', '䋘', '憭', '槎', '𤞖', '𢴋', '隸', '壉', '𦅭', '𢙩']"
𠓅,"['㮠', '𠓐', '㨲', '荣', '𢵭', '蒾', '𠒥', '𥢉', '柒', '𨅼', '粽', '𣙷', '𣔟', '辉', '糅', '糢', '璨', '桄', '茦', '𢯥']"
𠓇,"['尡', '𣼽', '棚', '搠', '𢠯', '𤎜', '𨅉', '𦄺', '稝', '眺', '晀', '脒', '𦨻', '焩', '𢲲', '𨄂', '掤', '𠒦', '樃', '𣼹']"
𠓍,"['豒', '豑', '繜', '彠', '徰', '繷', '罇', '繣', '蹮', '鱝', '徸', '繨', '漟', '鳠', '儓', '溰', '瓄', '繢', '纏', '僜']"
𠓐,"['㩞', '𣞁', '𠓅', '滎', '榮', '𤈡', '爃', '柒', '桬', '柋', '染', '𣖧', '栄', '𤈛', '柴', '褮', '絖', '裟', '埰', '粽']"
𠓑,"['镥', '𡓇', '魷', '觥', '尡', '鯁', '穭', '鱿', '䱛', '鳍', '𧤁', '瀂', '魯', '𠒦', '鮁', '𩹫', '𧣧', '鮤', '鯺', '鮻']"
𠓔,"['𤘂', '𣟃', '懜', '䑅', '𨮒', '𤔻', '箩', '𡗐', '顭', '儚', '鄸', '𦃮', '陟', '椤', '𣞊', '𡄀', '蹲', '𣘃', '罇', '𠼼']"
𠓨,"['叺', '𠓬', '込', '匃', '吹', '汄', '囚', '句', '畂', '𥃱', '玖', '认', '畆', '足', '久', '俎', '𨁰', '怂', '佝', '竾']"
𠓩,"['𣢹', '棣', '𣑳', '𢙩', '玖', '扖', '𡋃', '㑍', '枺', '𢬗', '朳', '畝', '耨', '悚', '埭', '赥', '砍', '欬', '𠅒', '敖']"
𠓬,"['欹', '𠓩', '砍', '悋', '砇', '玖', '込', '歆', '畂', '欥', '叺', '𡘯', '畆', '欿', '𨁮', '𠺥', '叡', '窬', '𢙵', '扖']"
𠓹,"['崙', '僉', '侖', '鑰', '兪', '谕', '菕', '𣘈', '薟', '禴', '儈', '龥', '倫', '𣗾', '衾', '埨', '命', '畲', '圇', '綸']"
𠓺,"['憮', '橅', '璑', '欳', '無', '込', '鄦', '𠓩', '甒', '撫', '譕', '𦥃', '墲', '扖', '畂', '澁', '膴', '瞴', '㥏', '潕']"
